section,item,expected,actual,verdict,note
[1] 환경,인터프리터가 .venv-lerobot,True,True,PASS,
[2] 기본값,chunk_size,100,100,PASS,
[2] 기본값,n_action_steps,100,100,PASS,
[2] 기본값,n_obs_steps,1,1,PASS,
[2] 기본값,vision_backbone,'resnet18','resnet18',PASS,
[2] 기본값,dim_model,512,512,PASS,
[2] 기본값,n_heads,8,8,PASS,
[2] 기본값,n_encoder_layers,4,4,PASS,
[2] 기본값,n_decoder_layers,1,1,PASS,
[2] 기본값,n_vae_encoder_layers,4,4,PASS,
[2] 기본값,latent_dim,32,32,PASS,
[2] 기본값,use_vae,True,True,PASS,
[2] 기본값,kl_weight,10,10,PASS,
[2] 기본값,dim_feedforward,3200,3200,PASS,
[2] 기본값,dropout,0.1,0.1,PASS,
[2] 기본값,pre_norm,False,False,PASS,
[2] 기본값,feedforward_activation,'relu','relu',PASS,
[2] 기본값,replace_final_stride_with_dilation,False,False,PASS,
[2] 기본값,optimizer_lr,1e-05,1e-05,PASS,
[2] 기본값,optimizer_lr_backbone,1e-05,1e-05,PASS,
[2] 기본값,optimizer_weight_decay,0.0001,0.0001,PASS,
[2] 기본값,temporal_ensemble_coeff,None,None,PASS,
[3] 축자 인용,Q1 (lesson §2.5 · configuration_act.py `n_action_steps` docstring),"…if the chunk size size 100, you may set this to 50",설치본 있음 · lesson 일치,PASS,`size size`는 상류 오타. lesson이 축자 인용하며 오타임을 주석으로 밝혔습니다
[3] 축자 인용,Q2 (lesson §2.6 · §7 · configuration_act.py `temporal_ensemble_coeff` docstring),…e needs to happen at every step to form an ensemble.,설치본 있음 · lesson 일치,PASS,"이 문장은 docstring 것이고, 실제 예외 메시지는 다른 문장입니다 — [4] 참조"
[3] 축자 인용,Q3 (lesson §7 첫 오해 · configuration_act.py `n_decoder_layers` 주석),…in the code that means only the first layer is used.,설치본 있음 · lesson 일치,PASS,`that means only`가 정본입니다. `means`가 빠지면 축자 인용이 아닙니다
[4] 예외,temporal_ensemble_coeff + n_action_steps>1,NotImplementedError,NotImplementedError,PASS,
[4] 예외,예외 메시지 첫 문장,`n_action_steps` must be 1 when using temporal ensembling.,`n_action_steps` must be 1 when using temporal ensembling. This is because the p,PASS,
[4] 예외,temporal_ensemble_coeff + n_action_steps=1,통과,통과,PASS,
